Test Name,Test Link,Remote Testing,Adaptive/IRT,Test Type,Description,Job Levels,Assessment Length,Tags
Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,,K,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,"['Apache Hadoop', 'Pig', 'Hive', 'HBase', 'Data Engineering', 'Big Data', 'Conceptual Knowledge', 'Multi-choice Questions']"
Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,Yes,,K,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 5,"['Apache HBase', 'HBase', 'NoSQL', 'Big Data', 'CAP Theorem', 'ACID Properties', 'HBase Client API', 'MapReduce', 'Configuration', 'Administration', 'Multi-choice', 'Data Engineering', 'Backend']"
Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,Yes,,K,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 5,"['Apache Hive', 'Hive architecture', 'HiveQL', 'Data warehousing', 'Big data', 'Data engineer', 'Data analyst', 'Multi-choice', 'Technical skills']"
Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,Yes,,K,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 6,"['Apache Kafka', 'Kafka Architecture', 'Kafka Components', 'Kafka Clusters', 'Kafka Performance Tuning', 'Kafka Operations', 'Multiple Choice Questions', 'Data Streaming', 'Message Queues', 'Backend']"
Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,Yes,,K,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 6,"['Apache Pig', 'PigLatin', 'Data Engineering', 'Big Data', 'Hadoop', 'Multi-choice', 'Technical Knowledge']"
Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,Yes,,K,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 8,"['Apache Spark', 'RDD', 'actions', 'transformations', 'lineage graphs', 'lazy evaluation', 'data engineering', 'big data', 'multi-choice', 'intermediate']"
ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,Yes,,K,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 13,"['.NET Framework', 'ASP.NET', 'C#', 'Object-Oriented Programming (OOP)', 'Data Access', 'State Management', 'Security Services', 'Multi-Choice', 'Fundamentals', 'Advanced Topics']"
ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,Yes,Yes,K,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 30,"['ASP.NET 4.5', '.NET Framework', 'C#', 'Web Applications', 'Web Forms', 'Client-Side Programming', 'Data Access', 'Security', 'Troubleshooting', 'Optimization', 'Services', 'Mobile', 'Mid-Level Developer', 'Backend Developer', 'Experienced Developer']"
Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,,E,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more.","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = Variable,"['assessment center', 'development center', 'group exercise', 'role play', 'analysis presentation', 'written exercise', 'virtual assessment', 'remote assessment', 'job levels', 'industry contexts', 'SHL']"
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,Yes,,S,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional,",Approximate Completion Time in minutes = max 20,"['C', 'C++', 'Java', 'debugging skills', 'code reuse', 'compiler', 'logical errors', 'syntactical errors', 'coding', 'software engineering', 'problem solving', 'code comprehension', 'simulated environment', 'New York City Law 144', 'automated employment decision tools']"
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,Yes,,S,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = max 30,"['SQL', 'DDL', 'DML', 'DCL', 'Query Writing', 'Database', 'Data Definition Language', 'Data Manipulation Language', 'Data Control Language', 'Simulated Assessment']"
Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/,Yes,,S,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = max 45,"['coding simulation', 'programming ability', 'IDE environment', '40+ programming languages', 'real-world coding problems', 'AI-powered', 'New York City Law 144 compliance']"
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,Yes,Yes,ABP,"The District/Regional Manager solution is for mid- to senior-level managerial positions that oversee multiple stores within a defined area.  Sample tasks for these jobs include, but are not limited to: directing a group of supervisors or managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals.  Potential job titles that use this solution are: Regional Director, District Manager, General Manager, Regional Manager, Store Manager, and Area Manager. There are multiple configurations and versions of this solution available.","Manager,",Approximate Completion Time in minutes = 65,"['District Manager', 'Regional Manager', 'General Manager', 'Store Manager', 'Area Manager', 'Mid-Level', 'Senior-Level', 'Managerial Positions', 'Profit and Loss Responsibility', 'Directing Supervisors', 'Directing Managers', 'Company Goals Alignment', 'Multiple Stores Oversight', 'Retail', 'Management']"
